,benefit_citation,year,benefit_country,benefit_n,benefit_type,benefit_net,benefit_currency,benefit_healthorprod,benefit_location,benefit_pollutant,benefit_netnew,,
35,"Montgomery et al., 2015",2015,International,6,ventilation,250,,both,office,PM10,250,,
36,"Montgomery et al., 2015",2015,International,6,ventilation,600,,both,office,PM10,600,,
37,"Seppanen & Fisk, 2004",2004,United States,1,combination,9992,USD per employee per year (NOT NET OF COSTS),both,office,multiple,16559.01731,,
38,"Shum & Zhong, 2022",2022,Canada,3,ventilation,54.6,,health,office,PM2.5,67.51194911,,
39,"Shum & Zhong, 2022",2022,Canada,3,ventilation,163.8,,health,office,PM2.5,202.5358473,,
40,"Shum & Zhong, 2022",2022,Canada,3,ventilation,70.2,,health,office,PM2.5,86.80107743,,
41,"Singh et al., 2011",2011,United States,2,combination,1188,,both,office,multiple,1653.042121,,
42,"Singh et al., 2011",2011,United States,2,combination,1169,,both,office,multiple,1626.604579,,
46,"Tse et al., 2004",2004,Hong Kong,2,combination,0.104539357,1943 HK$ private cost - daily for entire population,health,office,PM10,0.973985314,,
47,"Tse et al., 2004",2004,Hong Kong,2,combination,0.765725236,14232 HK$ social cost - daily for entire population,health,office,PM10,7.134204341,,
48,"Turcitte et al., 2014",2014,United States,1,combination,4831,,health,residential,multiple,6385.918139,,
52,"Xiang et al., 2021",2021,China,2,filtration ,4.249291785,6 billion divide by 1.412 B population of China in 2021 (short-term for annual),health,multiple,PM2.5,19.55937845,,
53,"Xiang et al., 2021",2021,China,2,filtration ,141.6430595,200 billion divide by 1.412 B population of China in 2021 (long-term for annual),health,multiple,PM2.5,651.9792816,,
54,"Zhang et al., 2023",2023,China,5,filtration,30,,health,residential,PM2.5,112.3538262,,
55,"Zhang et al., 2023",2023,China,5,filtration,30,,health,residential,PM2.5,112.3538262,,
56,"Zhang et al., 2023",2023,China,5,filtration ,38,,health,residential,PM2.5,142.3148465,,
57,"Zhang et al., 2023",2023,China,5,filtration,45,,health,residential,PM2.5,168.5307393,,
58,"Zhang et al., 2023",2023,China,5,filtration ,30,,health,residential,PM2.5,112.3538262,,
59,"Zuraimi, 2007",2007,Singapore,8,ventilation,1624,,both,residence,PM10,2118.184525,,
60,"Zuraimi, 2007",2007,Singapore,8,ventilation,371,,both,residence,PM10,483.8956028,,
61,"Zuraimi, 2007",2007,Singapore,8,ventilation,233,,both,residence,PM10,303.9020902,,
62,"Zuraimi, 2007",2007,Singapore,8,combination,0,,both,school,PM10,0,,
63,"Zuraimi, 2007",2007,Singapore,8,combination,570,,both,office,PM10,743.4514652,,
64,"Zuraimi, 2007",2007,Singapore,8,combination,806,,both,combination,PM10,1051.266458,,
