,benefit_citation,year,benefit_country,benefit_n,benefit_type,benefit_net,benefit_currency,benefit_healthorprod,benefit_healthorprod_details,benefit_location,benefit_pollutant,benefit_pollutant_details,benefit_pollutant_old,benefit_mortalityincluded (1=yes),benefit_mortality_details,benefit_elevated,benefit_descriptionofelevatedconcentration,benefit_studytype,benefit_notes,benefit_model or experiment,benefit_model_inputs_list,benefit_studydetails,benefit_specificlocation,benefit_metric_details,benefit_descriptionofscenarios,benefit_officerezschool,benefit_errorbars,benefit_costs_considered,FACTOR,Country Name,ppp,combinedfactor,netnew
16,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
17,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
18,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
19,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
20,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
21,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
22,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
23,"Asere et al., 2016",2016,Latvia,4,ventilation,180.0,,performance,,combination,multiple,check,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,113.74607446672344
24,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
25,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
26,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
27,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
28,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
29,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
30,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
31,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
32,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
33,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
34,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
35,"Asere et al., 2016",2016,Latvia,4,ventilation,211.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,133.3356761804369
36,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
37,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
38,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
39,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
40,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
41,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
42,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
43,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
44,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
45,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
46,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
47,"Asere et al., 2016",2016,Latvia,4,ventilation,220.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,139.0229799037731
48,"Asere et al., 2016",2016,Latvia,4,ventilation,238.0,,performance,,combination,multiple,,pm,,,0.0,none,model ,,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employees productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].","Liepaja municipality, Latvia",,4 ventilation scenarios,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",,,1.3041890561143232,Latvia,0.484533,0.6319226359262413,150.39758735044543
