benefit_citation,benefit_year,benefit_country,benefit_n,benefit_type,benefit_net,benefit_currency,pop,MUST SOLVE,benefit_healthorprod,benefit_healthorprod_details,duration (years),benefit_location,benefit_pollutant,benefit_pollutant_details,benefit_pollutant_old,Intervention 1 pollutant,explaining column to left,discussion: breakdown of benefits,benefit_mortalityincluded (1=yes),benefit_mortality_details,horizon (years),column explaining left ,benefit_elevated,benefit_descriptionofelevatedconcentration,benefit_studytype,benefit_notes,Title,Complete,Time to complete,benefit_model or experiment,benefit_model_inputs_list,benefit_studydetails,n=,benefit_specificlocation,EDI,scope of model,metric,benefit_metric_details,benefit_descriptionofscenarios,,benefit_officerezschool,typeoriginal,benefit_errorbars,breakdown,CNY per person per yar,1units,1intervention,2type,2net,2error,2units,2healthproductivityboth,2intervention,3type,3net,3error,3units,3healthproductivityboth,3intervention,4type,Intervention 4 Net Benefit,name1,amount1 (US million),name2,amount2,name3,amount3,name4,amount4,name5,amount5,name6,amount6,name7,amount7,name8,amount8,Units,"productivity, health, or both",description of intervention,"Intervention 5 approach (filtration, ventilation, source control)",Intervention 5 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 6 approach (filtration, ventilation, source control)",Intervention 6 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 7 approach (filtration, ventilation, source control)",Intervention 7 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 8 approach (filtration, ventilation, source control)",Intervention 8 Net Benefit,Units,"productivity, health, or both",description of intervention,"Intervention 9 approach (filtration, ventilation, source control)",Intervention 9 Net Benefit,Units,"productivity, health, or both",description of intervention,1breakdown,Intervention 1 description,intervention summary,Benefit/cost,benefit_costs_considered,Intervention 1 Cost,Internvention 1 Cost Description,Intervention 1 Productivity Benefit,Intervention 1 Productivity Benefit Description,Intervention 1 Health Benefit,Intervention 1 Health Benefit Description,Intervention 2 description,Intervention 2 pollutant,Intervention 2 Cost,Internvention 2 Cost Description,Intervention 2 Productivity Benefit,Intervention 2 Productivity Benefit Description,Intervention 2 Health Benefit,Intervention 2 Health Benefit Description,Intervention 3 description,Intervention 3 pollutant,Intervention 3 Cost,Internvention 3 Cost Description,Intervention 3 Productivity Benefit,Intervention 3 Productivity Benefit Description,Intervention 3 Health Benefit,Intervention 3 Health Benefit Description,Intervention 4 description,Intervention 4 pollutant,Intervention 4 Cost,Internvention 4 Cost Description,Intervention 4 Productivity Benefit,Intervention 4 Productivity Benefit Description,Intervention 4 Health Benefit,Intervention 4 Health Benefit Description,Intervention 5 description,Intervention 5 pollutant,Intervention 5 Cost,Internvention 5 Cost Description,Intervention 5 Productivity Benefit,Intervention 5 Productivity Benefit Description,Intervention 5 Health Benefit,Intervention 5 Health Benefit Description,Intervention 6 description,Intervention 6 pollutant,Intervention 6 Cost,Internvention 6 Cost Description,Intervention 6 Productivity Benefit,Intervention 6 Productivity Benefit Description,Intervention 6 Health Benefit,Intervention 6 Health Benefit Description,details on intervention,"health impacts/direct impacts (specific health outcomes, asthma, biomarkers, cardiovascular visits to hospital, respiratory visits, allergies)","description/details on health impacts (asthma exacerbation, asthma puffer use, etc.)","non-specific impacts/Indirect (productivity, absenteesim, cognitive function, SBS)",details on non-specific/indirect,Benefit of health results,Net benefit of health Results,costs considered (,Cost amount,Cost details,benefits of avoided productivity losses (standardized language),Net benefit of avoided productivity loss,Net benefits of the intervention (health and productivity combined),interesting notes (just text),discussion,more dicussion,conclusions,,,,
"Zhang et al., 2023",2023,China,5,filtration,30,,,,health,,1,residential,PM2.5,includes indoor origin PM2.5,pm,PM2.5,,,,,,,1,ambient outdoor concentrations of PM2.5 are high in China,model ,,"Air Purifier Intervention to Remove Indoor PM2.5 in Urban China: A
Cost-Effectiveness and Health Inequality Impact Study",Y,50 minutes,model ,"cooking and smoking behaviours, air exchange rate, PM2.5 deposition rate, PM2.5 penetration coefficient, outdoor PM2.5 concentration, ceiling height, floor area of residence, time of open-windows conditions, human: breathing rate and time spent outdoors, data: paramters in IER functions, cause-specific DALYs, urbanization rate, GDP per capita, costs: price of air purifier per CADR, power of air purifier per CADR, price of air purifier filter, unit price of electricity, CCM of air purifier filter","To quantify the population distribution of the estimated exposure, health
benefits, and costs for air purifier use as well as the uncertainty of these estimates, we used a two-stage Monte Carlo simulation framework to conduct our model. Two methods were applied to evaluate and compare those scenarios; the Cost Benefit Analysis
and the Monte Carlo Simulation. ",,"China (urban areas, mainland China)",,urban areas in 354 cities in China in 2019,DALY,,"n five intervention scenarios
(S1?S5), where the indoor PM2.5 targets were 35, 25, 15, 10, and 5 ?g/
m3, respectively",,residential,filtration,,933 M people lived in urban regions in China 2023 - 200 000 000 000 - USD conversion,214,CNY,PAC to bring indoor PM2.5 level to 35 ug/m3,filtration ,200 000 000 000,,CNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAC,,Benefit of 184-405 billion CNY,"price of air purifier per CADR, power of air purifier per CADR, prie of air purifier filer, unit price of electricity, CCM of air purifier filter",,,,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAC,DALYs,"We calculated the avoidable PM2.5-attributed disease burden of using air purifiers for
annual health benefits assessment. The identified diseases
attributable to PM2.5 included chronic obstructive pulmonary
disease (COPD), lower respiratory infections (LRI), lung
cancer (LC), diabetes mellitus type 2 (DM2), ischemic heart
disease (IHD), and stroke.4 In this study, the disease burden
was assessed by disability-adjusted-life-years (DALYs), which
represent the loss of years of equivalent full health. DALYs are
the sum of the years lived with a disability (YLDs) due to
prevalent cases of the disease or health condition and the years
of life lost due to premature mortality (YLLs) in a
population.31 The DALY measures the health loss from both
non-fatal and fatal outcomes.",none,none,none,"In scenarios S1?S5,
the total net benefits in urban China were 184 (86?248), 215
(96?292), 275 (100?389), 301 (73?450), and 203 (?106?
405) billion CNY, respectively (Figure 3A).","filter replacement, investment, electricity","The total annual costs for
using air purifiers in urban China were 201 (199?204), 240
(238?243), 364 (360?369), 522 (515?530), and 921 (905?
939) billion CNY in intervention scenarios S1?S5, respectively
(Figure 3A).","The three components had different proportions
in the total cost, among which the maintenance cost for filter
replacement accounted for the highest proportion of 46?70%
in the five intervention scenarios, followed by the initial
investment cost and electricity cost. Electricity cost accounted
for much less than the other two components, at 6?14% in the
five intervention scenarios. With the decrease of the indoor
PM2.5 target, the proportion of maintenance cost decreased
while the other two increased, which is because of higher
CADR and longer operation of air purifiers answering tighter
indoor concentration targets.",none,none,,Cities with a lower ratio of annual average outdoor PM2.5 concentration to gross domestic product (GDP) per capita tended to achieve higher net benefits in the scenario with a lower indoor PM2.5 target. Controlling ambient PM2.5 pollution and developing the economy can reduce the inequality in air purifier use across China.,uses DALYs which cuts out elderly and young,,,,,,
"Zhang et al., 2023",2023,China,5,filtration,30,,,,health,,1,residential,PM2.5,includes indoor origin PM2.5,pm,,,,,,,,1,ambient outdoor concentrations of PM2.5 are high in China,,,,,,,"cooking and smoking behaviours, air exchange rate, PM2.5 deposition rate, PM2.5 penetration coefficient, outdoor PM2.5 concentration, ceiling height, floor area of residence, time of open-windows conditions, human: breathing rate and time spent outdoors, data: paramters in IER functions, cause-specific DALYs, urbanization rate, GDP per capita, costs: price of air purifier per CADR, power of air purifier per CADR, price of air purifier filter, unit price of electricity, CCM of air purifier filter",,,,,,DALY,,,,,200 000 000 000,,,214,CNY,PAC to bring indoor PM2.5 level to 25 ug/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"price of air purifier per CADR, power of air purifier per CADR, prie of air purifier filer, unit price of electricity, CCM of air purifier filter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2023",2023,China,5,filtration ,38,,,,health,,1,residential,PM2.5,includes indoor origin PM2.5,pm,,,,,,,,1,ambient outdoor concentrations of PM2.5 are high in China,,,,,,,"cooking and smoking behaviours, air exchange rate, PM2.5 deposition rate, PM2.5 penetration coefficient, outdoor PM2.5 concentration, ceiling height, floor area of residence, time of open-windows conditions, human: breathing rate and time spent outdoors, data: paramters in IER functions, cause-specific DALYs, urbanization rate, GDP per capita, costs: price of air purifier per CADR, power of air purifier per CADR, price of air purifier filter, unit price of electricity, CCM of air purifier filter",,,,,,DALY,,,,,filtration ,,,268,CNY,PAC to bring indoor PM2.5 level to 15 ug/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"price of air purifier per CADR, power of air purifier per CADR, prie of air purifier filer, unit price of electricity, CCM of air purifier filter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2023",2023,China,5,filtration,45,,,,health,,1,residential,PM2.5,includes indoor origin PM2.5,pm,,,,,,,,1,ambient outdoor concentrations of PM2.5 are high in China,,,,,,,"cooking and smoking behaviours, air exchange rate, PM2.5 deposition rate, PM2.5 penetration coefficient, outdoor PM2.5 concentration, ceiling height, floor area of residence, time of open-windows conditions, human: breathing rate and time spent outdoors, data: paramters in IER functions, cause-specific DALYs, urbanization rate, GDP per capita, costs: price of air purifier per CADR, power of air purifier per CADR, price of air purifier filter, unit price of electricity, CCM of air purifier filter",,,,,,DALY,,,,,filtration,,,322,CNY,PAC to bring indoor PM2.5 level to 10 ug/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"price of air purifier per CADR, power of air purifier per CADR, prie of air purifier filer, unit price of electricity, CCM of air purifier filter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2023",2023,China,5,filtration ,30,,,,health,,1,residential,PM2.5,includes indoor origin PM2.5,pm,,,,,,,,1,ambient outdoor concentrations of PM2.5 are high in China,,,,,,,"cooking and smoking behaviours, air exchange rate, PM2.5 deposition rate, PM2.5 penetration coefficient, outdoor PM2.5 concentration, ceiling height, floor area of residence, time of open-windows conditions, human: breathing rate and time spent outdoors, data: paramters in IER functions, cause-specific DALYs, urbanization rate, GDP per capita, costs: price of air purifier per CADR, power of air purifier per CADR, price of air purifier filter, unit price of electricity, CCM of air purifier filter",,,,,,DALY,,,,,filtration ,,,214,CNY,PAC to bring indoor PM2.5 level to 5 ug/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"price of air purifier per CADR, power of air purifier per CADR, prie of air purifier filer, unit price of electricity, CCM of air purifier filter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chau et al., 2008",2008,Hong Kong,1,filtration,267,,,,health,,5,residential,PM10,check,pm,PM10,,,,,,,1,ambient outdoor concentrations in Hong Kong,model ,,Valuing the health benefits of improving indoor air quality in residences,Y,45,model ,,"a human thermal comfort model was first integrated with indoor microenvironment models, and subsequently linked with appropriate concentration–response and economic data for estimating the economic benefit gains derived from improving indoor air quality in residences for an adult and an elderly person. In this study, the development of the model is illustrated by using a typical residential apartment locating at the worst air quality neighborhood in Hong Kong and the daily weather profiles between 2002 and 2006",,Hong Kong,,,,,"Three types of personal intervention measures were examined in the study: (i) using air cleaner in residence, (ii) changing time spent in residence, and (iii) relocating to a better air quality neighborhood. ",,residential,filtration,116-270,"2071 HK $ to USD per adult, not elderly - error bars (900-2100)",,"HK $ individual person, right? annual",,exposure control?,,,,,,"I'm not sure if this counts as an IAQ approach, because it involves moving to a better neighbourhood (in terms of outdoor air quality) and results are based on ambient concentrations of PM10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115–671 HK$2072 5 year cumulative benefit for adult; more for elderly,"portable air cleaner with HEPA filters in residence. assumptions including ""no difference in suceptibility or exposure difference between different populations""",,benefit of HK$35–423  annually,,,,,,a maximum of HK$2072 in 5-year cumulative benefit gain for an adult and HK$1700 for an elderly person,"Employing air cleaners with windows closed in only cool season (October through March) could give the highest marginal return per dollar spent. It is interesting to reckon that
more than 80% of these gains could be acquired by using air
cleaner in cool season only. By doing so, this would provide a
cumulative benefit of HK$743–1,971 for an adult and HK$616–
1,596 for an elderly person.","Spending 1–4 h shorter at home (adult spends this extra time in the office, elderly spends this extra time outdoors)",PM10,,,,,"adult a yearly average return of HK$115–671 in benefits and HK $96–577 if he chose to do this only for cool seasons. Elderly: Spending 1–4 h longer at home could give him a
yearly average return of HK$100–423 and HK$35–198 if he
chose to do so only for cool seasons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mortality, hospital admission, restricted activity day (each for both adult and elderly)",,,,,,,,,,,,"This might include only outdoor-origin PM10
Concentration-response coefficients were obtained from meta analyses","monetary benefit gain estimates for various types of health outcomes by adult, elderly person and/or the society. These estimates were derived based on the assumptions that individuals were responsible for only part of their health expenses incurred by hospitalization and the health expenses incurred by medical practitioner visits were in accordance with a fixed rate schedule issued by the government (HKMA, 2003; HKHA, 2005).",,,,,,
"Asere et al., 2016",2016,Latvia,4,ventilation,180,,,,performance,,2,combination,multiple,check,pm,,,,,,,,0,none,model ,,Assessment of indoor air quality in renovated buildings of Liep?ja municipality,Y,40,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employee’s productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].",,"Liepaja municipality, Latvia",,"Notably, the productivity improvements in the school locations are the productivity of the school personell/workers",,,4 ventilation scenarios,,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",ventilation,,"eruro to USD, assumed 60 occupants? - 4 buildings, (240)",40000 - 167,euro after 2 years,ventilation rate 5 l/s per person,ventilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best case,ventilation rate 5 l/s per person,,"greatest benefit at 30 l/s/person after 2 years: 53, 000 Euro",,,,negeative benefit in some buildings; up to 41000 benefit in schools,"Student’s schooling costs are used to calculate economic benefits from educational institution people's productivity improvment -- this is questionable. Not sure what this means: Municipality police F,
Office G and museum H staff salary costs in calculations are taken as average Liep?ja municipality salary. Sum of
these costs makes total building costs.  costs = necessary amount of investments, expenses arising from the operation of the air handling unit necessary amount of investments, expenses arising from the operation of the air handling unit. The costs include the design
expenses, air handling unit price, the air valve overhead, their fittings, fasteners and other components of the
ventilation system expenses as well as installation, commissioning and system balancing. The average market prices
in 2015 are taken into account depending on the size of projects. KOMFOVENT VERSO program was used to
design air handling equipment. [22]. ",,,10 l/s/person,,,,"up to 47,000 Euro after 2 years",,,,15 l/s/person,,,,"up to 49,000 Euro after 2 years",,,,30 l/s/person,,,,"after 2 years: most benefit of all scenarios; up to 53, 000 Euro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buldings have different starting ventilation rates so potential for improvement is different,"less benefit observed in the police department, museum and administrative building than in the kindergartens and schools. Typically, the 30 l/s/person scenario provided the best economic benefit.","""It is possible using hallways and empty rooms as accumulation containers for heat exchange because all
rooms are not used in the same time. Ventilation system flow valves can be managed automatically by
servomechanism excluding human subjective point of view. Economic benefit analysis of automatic room closure or
connection with flow valves should be researched.""",,,,,
"Asere et al., 2016",2016,Latvia,4,ventilation,211,,,,performance,,2,combination,multiple,,pm,,,,,,,,0,none,model ,,Assessment of indoor air quality in renovated buildings of Liep?ja municipality,Y,40,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employee’s productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].",,"Liepaja municipality, Latvia",,"Notably, the productivity improvements in the school locations are the productivity of the school personell/workers",,,4 ventilation scenarios,,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",ventilation,,,47 000 - 196,Euro after 2 years,10 l/s/person,ventilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best case,ventilation rate 5 l/s per person,,"greatest benefit at 30 l/s/person after 2 years: 53, 000 Euro",,,,negeative benefit in some buildings; up to 41000 benefit in schools,"Student’s schooling costs are used to calculate economic benefits from educational institution people's productivity improvment -- this is questionable. Not sure what this means: Municipality police F,
Office G and museum H staff salary costs in calculations are taken as average Liep?ja municipality salary. Sum of
these costs makes total building costs.  costs = necessary amount of investments, expenses arising from the operation of the air handling unit necessary amount of investments, expenses arising from the operation of the air handling unit. The costs include the design
expenses, air handling unit price, the air valve overhead, their fittings, fasteners and other components of the
ventilation system expenses as well as installation, commissioning and system balancing. The average market prices
in 2015 are taken into account depending on the size of projects. KOMFOVENT VERSO program was used to
design air handling equipment. [22]. ",,,10 l/s/person,,,,"up to 47,000 Euro after 2 years",,,,15 l/s/person,,,,"up to 49,000 Euro after 2 years",,,,30 l/s/person,,,,"after 2 years: most benefit of all scenarios; up to 53, 000 Euro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buldings have different starting ventilation rates so potential for improvement is different,"less benefit observed in the police department, museum and administrative building than in the kindergartens and schools. Typically, the 30 l/s/person scenario provided the best economic benefit.","""It is possible using hallways and empty rooms as accumulation containers for heat exchange because all
rooms are not used in the same time. Ventilation system flow valves can be managed automatically by
servomechanism excluding human subjective point of view. Economic benefit analysis of automatic room closure or
connection with flow valves should be researched.""",,,,,
"Asere et al., 2016",2016,Latvia,4,ventilation,220,,,,performance,,2,combination,multiple,,pm,,,,,,,,0,none,model ,,Assessment of indoor air quality in renovated buildings of Liep?ja municipality,Y,40,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employee’s productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].",,"Liepaja municipality, Latvia",,"Notably, the productivity improvements in the school locations are the productivity of the school personell/workers",,,4 ventilation scenarios,,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",ventilation,,,49 000 - 204,Euro after 2 years,15 l/s/person,ventilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best case,ventilation rate 5 l/s per person,,"greatest benefit at 30 l/s/person after 2 years: 53, 000 Euro",,,,negeative benefit in some buildings; up to 41000 benefit in schools,"Student’s schooling costs are used to calculate economic benefits from educational institution people's productivity improvment -- this is questionable. Not sure what this means: Municipality police F,
Office G and museum H staff salary costs in calculations are taken as average Liep?ja municipality salary. Sum of
these costs makes total building costs.  costs = necessary amount of investments, expenses arising from the operation of the air handling unit necessary amount of investments, expenses arising from the operation of the air handling unit. The costs include the design
expenses, air handling unit price, the air valve overhead, their fittings, fasteners and other components of the
ventilation system expenses as well as installation, commissioning and system balancing. The average market prices
in 2015 are taken into account depending on the size of projects. KOMFOVENT VERSO program was used to
design air handling equipment. [22]. ",,,10 l/s/person,,,,"up to 47,000 Euro after 2 years",,,,15 l/s/person,,,,"up to 49,000 Euro after 2 years",,,,30 l/s/person,,,,"after 2 years: most benefit of all scenarios; up to 53, 000 Euro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buldings have different starting ventilation rates so potential for improvement is different,"less benefit observed in the police department, museum and administrative building than in the kindergartens and schools. Typically, the 30 l/s/person scenario provided the best economic benefit.","""It is possible using hallways and empty rooms as accumulation containers for heat exchange because all
rooms are not used in the same time. Ventilation system flow valves can be managed automatically by
servomechanism excluding human subjective point of view. Economic benefit analysis of automatic room closure or
connection with flow valves should be researched.""",,,,,
"Asere et al., 2016",2016,Latvia,4,ventilation,238,,,,performance,,2,combination,multiple,,pm,,,,,,,,0,none,model ,,Assessment of indoor air quality in renovated buildings of Liep?ja municipality,Y,40,model ,,"Olli Seppänen summarized results from several researches in equations 3 and 4 and made a model that let forecast human productivity changes on different ventilation rates. This model is based on 9 researches that studied call canter employee’s productivity where a lot of people were in
the rooms. Based on this it can also be used for different cases with many people like schools or kindergartens. The
model is made for ventilation rate changes from 6.5 l/s to 47 l/s per person [18].",,"Liepaja municipality, Latvia",,"Notably, the productivity improvements in the school locations are the productivity of the school personell/workers",,,4 ventilation scenarios,,"public sector buildings (3 kindergartens, 2 schools, 1 municipality police department, 1 administrative building, and 1 museum)",ventilation,,,53 000 - 221,Euro after 2 years,30 l/s/person,ventilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,best case,ventilation rate 5 l/s per person,,"greatest benefit at 30 l/s/person after 2 years: 53, 000 Euro",,,,negeative benefit in some buildings; up to 41000 benefit in schools,"Student’s schooling costs are used to calculate economic benefits from educational institution people's productivity improvment -- this is questionable. Not sure what this means: Municipality police F,
Office G and museum H staff salary costs in calculations are taken as average Liep?ja municipality salary. Sum of
these costs makes total building costs.  costs = necessary amount of investments, expenses arising from the operation of the air handling unit necessary amount of investments, expenses arising from the operation of the air handling unit. The costs include the design
expenses, air handling unit price, the air valve overhead, their fittings, fasteners and other components of the
ventilation system expenses as well as installation, commissioning and system balancing. The average market prices
in 2015 are taken into account depending on the size of projects. KOMFOVENT VERSO program was used to
design air handling equipment. [22]. ",,,10 l/s/person,,,,"up to 47,000 Euro after 2 years",,,,15 l/s/person,,,,"up to 49,000 Euro after 2 years",,,,30 l/s/person,,,,"after 2 years: most benefit of all scenarios; up to 53, 000 Euro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buldings have different starting ventilation rates so potential for improvement is different,"less benefit observed in the police department, museum and administrative building than in the kindergartens and schools. Typically, the 30 l/s/person scenario provided the best economic benefit.","""It is possible using hallways and empty rooms as accumulation containers for heat exchange because all
rooms are not used in the same time. Ventilation system flow valves can be managed automatically by
servomechanism excluding human subjective point of view. Economic benefit analysis of automatic room closure or
connection with flow valves should be researched.""",,,,,
"Fisk & Chan, 2016",2016,United States,6,combination,3,,,,health,,1,residential,multiple,,pm,PM2.5 (from wildfires),,,,,,,1,wildfire smoke,model ,,Health bene?ts and costs of ?ltration interventions that reduceindoor exposure to PM2.5 during wild?res,,,,,mass balance models,,Southern California,,homes in six southern California counties,,,,,residential,venitlation and filtration,,ERROR BARS ARE HUGE - LEAVE THEM OFF THE PAGE,61 M,,constantly operating HVAC with low-efficiency particulate filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(baseline is that homes don't have mechanical ventilation--just infiltration). In the ?rst baseline (B1), the home has an intermit-tently operating central forced air heating and coolingsystem with a typical low-e?ciency particle ?lter. In interven-tion 1 (i1), the forced air heating and air conditioningsystem fan is operated continuously during the periodof wild?re smoke exposure with no change in the type of ?lter in the system.",,,,$110 ,HVAC incremental energy costs,,,$171 M,reducedhospital admissions and premature deaths," In i2, the forced-air fan is oper-ated continuously and the ?lter is upgraded to a high-e?ciency ?lter. For interventions i2, i3, and i5, we assumed use of ahigher e?ciency ?lter, with a Minimum E?ciencyReporting Value (MERV) rating of 12, in the forcedair systems of homes. Based on estimates of the extentof air leakage around ?lters in residential forced airsystems, Vershaw et al. (2009) estimated that thee?ective Initial E?ciency Reporting Value (IERV) ofIERV 11 ?lters is typically reduced by three units toIERV 8. The IERV value is the MERV value of a clean(unused) ?lter. ",,,,,,,,". In i3, the ?lter is upgraded to a highe?ciency ?lter but the forced air system operates in itsnormal intermittent mode.",,,,,,,,"In i4, a portable air cleanerwith fan and particle ?lter is operated in the home dur-ing the period of wild?re smoke exposure and theforced air heating and air conditioning system fanoperates continuously with no ?lter system upgrade.  Forinterventions i4 through i6, a portable fan ?lter unitwith HEPA ?lter is operated.",,,,,,,,"Ini5, a portable fan ?lter unit is operated in the homeduring wild?re smoke exposure, the forced air heatingand air conditioning system fan operates continuously,and the ?lter in the forced-air system is upgraded to ahigh e?ciency ?lter",,,,,,,," Intervention i6 uses B2 as the ref-erence. In i6, a portable fan ?lter unit is operated in thehome during the period of wild?re smoke exposureand the home has no forced air system with ?ltration. Inthe second baseline (B2), the home has no centralforced air system. ",,,,,,,,,,,,,,,,,,,,,Also conisdered exposure in other buildings than homes nad in vehicles,"The fraction of the population with an admission attributableto wild?re smoke is small, thus, the costs of interventions in all homes farexceeds the economic bene?ts of reduced hospital admissions. However, theestimated economic value of the prevented deaths exceed or far exceedintervention costs for interventions that do not use portable air cleaners. For theinterventions with portable air cleaner use, mortality-related economic bene?tsexceed intervention costs as long as the cost of the air cleaners, which have amulti-year life, are not attributed to the short wild?re period. Cost e?ectivenessis improved by intervening only in the homes of the elderly who experience mostof the health e?ects of particles from wild?res.",,,,,,
